name,email,phone,address,experience_years,rating,popularity,accessibility,reliability,legal_issues
"Narayanan, Arya and Nadig Foundation",banjeetchaudhuri@karpe.org,9591603305,"H.No. 434, Tailor Nagar, Ratlam 609338",22,3.01,medium,easy,medium,property_dispute|FIR_denial
Iyengar Ltd Foundation,darsh71@wali.com,05758615417,"H.No. 73, Sachdeva Chowk, Jhansi 739420",18,3.41,medium,difficult,medium,consumer_rights|cyber_crime|harassment|labor_rights_violation
"Krishnan, Ganesh and Muni Foundation",warhisaxena@buch-bail.org,+914911523832,"15/92, Panchal, Thrissur-786584",43,4.25,medium,difficult,low,labor_rights_violation|workplace_discrimination
Mand and Sons Foundation,wishithaman@chowdhury.com,8572805004,"H.No. 99, Thakkar Nagar, Bokaro 748045",43,3.93,medium,moderate,medium,workplace_discrimination|dowry
Bassi-Atwal Foundation,bensamesh@nayar.info,3682190938,"H.No. 981, Samra Chowk, Gaya 967581",35,4.89,medium,difficult,medium,property_dispute
Kapadia-Tella Foundation,teerth67@sarma.org,4229639778,"84, Comar Marg, Guwahati 123663",4,4.45,low,moderate,medium,FIR_denial|child_custody
"Upadhyay, Sekhon and Nadkarni Foundation",kratti@wable.com,+912575230667,"02/51, Seshadri Path, Amroha 615388",24,4.85,low,difficult,medium,consumer_rights
Panchal-Sem Foundation,chatura88@mital-kamdar.com,00864639963,"76/30, Shukla Path, Pali-546498",23,4.37,medium,difficult,high,harassment
Chada-Chaudhuri Foundation,shettypeter@shetty.com,03779972191,"89, Baral Ganj, Ongole 510442",23,3.96,low,moderate,high,property_dispute
"Patil, Kuruvilla and Chana Foundation",tchhabra@rattan.biz,09947559428,"61, Dani Ganj, Bhalswa Jahangir Pur 194920",21,3.94,low,easy,high,consumer_rights
"Mukherjee, Dutt and Keer Foundation",virajjayaraman@bahl.com,+918529251934,"36, Varkey Street, Bhavnagar 193656",46,3.85,medium,moderate,high,labor_rights_violation|consumer_rights|bribery_corruption
Balay-Gupta Foundation,yutika10@kala.com,5008784438,"68, Kunda Nagar, Mehsana-293061",42,3.8,low,moderate,low,rent_eviction|property_dispute|harassment
"Sachdeva, Tailor and Kulkarni Foundation",adya88@butala.com,00991677437,"94/12, Mahal Circle, Madurai 887920",19,4.83,medium,easy,medium,workplace_discrimination|child_custody
Kibe-Chopra Foundation,lrattan@sahni-gera.org,+915407794592,"257, Thakur Zila, Khandwa 563520",31,4.61,medium,difficult,medium,property_dispute|FIR_denial
Prakash-Parikh Foundation,sanya84@singhal-nori.com,+913381786431,"300, Kulkarni, Pondicherry 178089",24,4.49,medium,moderate,low,consumer_rights|property_dispute|labor_rights_violation|child_custody
Bhalla-Dhar Foundation,qbhagat@bumb.biz,+913852925612,"16/438, Dutt Street, Tezpur-189210",17,3.71,low,easy,low,consumer_rights|cyber_crime|dowry
Chana LLC Foundation,lopa98@pandit.com,+911699730708,"13, Deo Marg, Kavali 268210",32,3.69,low,moderate,medium,harassment|bribery_corruption|child_custody
"Kumer, Mann and Rout Foundation",samakshsaha@kapoor.biz,+917859080544,"H.No. 658, Korpal Marg, Eluru 760642",37,4.4,low,moderate,low,property_dispute|labor_rights_violation
"Rajan, Kanda and Chander Foundation",frao@gola.org,01353846113,"52/751, Contractor Ganj, Anantapuram-689494",29,4.86,medium,difficult,medium,property_dispute|workplace_discrimination
"Parikh, Lanka and Muni Foundation",girishtalwar@datta.net,+914284368050,"H.No. 970, Narain Marg, Bhusawal-791205",4,3.55,low,moderate,high,child_custody|FIR_denial
"Warrior, Kari and Nayak Foundation",tara86@chokshi.info,07766660910,"H.No. 61, Sarraf Marg, Khammam-268645",46,4.14,high,difficult,medium,harassment|FIR_denial
Sastry-Bahl Foundation,okala@vyas.com,5873996830,"H.No. 506, Hora Circle, New Delhi 386670",19,3.8,high,moderate,low,child_custody|bribery_corruption|workplace_discrimination|labor_rights_violation
Manne Inc Foundation,bhatriya@mallick.com,+917481418326,"H.No. 21, Chokshi Zila, Bikaner-084646",49,4.98,low,moderate,low,domestic_violence|labor_rights_violation|child_custody
Saxena and Sons Foundation,lajita59@dhawan-prakash.com,1659507360,"H.No. 403, Behl Chowk, Nellore 330688",43,3.75,high,moderate,medium,cyber_crime|labor_rights_violation
Dhawan-Tailor Foundation,mbali@soni.com,0703718106,"H.No. 893, Choudhary Street, Ajmer-495066",44,4.87,low,easy,high,property_dispute|FIR_denial
Parmer-Sane Foundation,vedantdeol@thaman.biz,3024372505,"H.No. 22, Kalla Marg, Dhanbad 880145",32,3.42,medium,easy,medium,dowry
Minhas Inc Foundation,niteshpillay@din.com,08380172815,"20/29, Sehgal Marg, Nellore-822020",38,4.42,low,easy,high,cyber_bullying|harassment
Basak PLC Foundation,tara95@doshi-bhatti.com,0803075834,"511, Sehgal Nagar, Alappuzha 616527",37,4.77,high,easy,medium,FIR_denial|dowry|domestic_violence|child_custody
